,0,1,2,0_syllables,1_syllables,2_syllables,label
1,spring rain -,as the doctor speaks,i think of lilacs,3,5,5,spring
1,spring rain -,as the doctor speaks,i think of lilacs,3,5,5,rain
3,sunny afternoon,an old man lingers,near the mailbox,5,5,4,afternoon
5,quitting time,the smell of rain,in the lobby,3,4,4,time
5,quitting time,the smell of rain,in the lobby,3,4,4,smell
5,quitting time,the smell of rain,in the lobby,3,4,4,rain
7,overnight rain --,the scent of orange blossoms,in a desert town,4,7,5,rain
7,overnight rain --,the scent of orange blossoms,in a desert town,4,7,5,scent
8,misty summer rain,calling pheasant,in Zen temple,5,4,4,summer
8,misty summer rain,calling pheasant,in Zen temple,5,4,4,rain
9,day is done,poppies amidst,the dying grass,3,4,4,day
9,day is done,poppies amidst,the dying grass,3,4,4,grass
11,mountain stream,   two well placed rocks,the path home,3,4,3,home
13,a wild violet,on the sunny hill~,noon time nap,4,5,3,time
13,a wild violet,on the sunny hill~,noon time nap,5,5,3,time
14,a sunny day,pink haze of the cherry blossoms,over the hill,4,8,4,day
15,polished oak --,the freesia's shadow ends,in coffee foam,3,7,4,shadow
26,in winter's wind,the call of a friend,who now has cancer,4,5,5,winter
26,in winter's wind,the call of a friend,who now has cancer,4,5,5,wind
28,spring breeze-,the balcony's shadows,on my book,3,6,3,spring
29,winter drizzle,all the passing faces look,into the cafe,4,7,5,winter
30,smells of spring,adrift in the morning air,bubbles under ice,3,7,5,spring
30,smells of spring,adrift in the morning air,bubbles under ice,3,7,5,morning
30,smells of spring,adrift in the morning air,bubbles under ice,4,7,5,spring
30,smells of spring,adrift in the morning air,bubbles under ice,4,7,5,morning
33,hot afternoon,a flirting couple,in the memorial's shade,4,5,7,afternoon
34,last red in the sky,a small girl's moon face rises,over the counter,5,7,5,sky
34,last red in the sky,a small girl's moon face rises,over the counter,5,7,5,moon
36,morning delivery --,snow comes in,with the FedEx man,6,3,5,morning
36,morning delivery --,snow comes in,with the FedEx man,6,3,5,snow
38,windless day,the prolific weeds,at the grave site,3,5,4,day
39,Spring day,cool and grey,cup of tea,3,3,3,spring
39,Spring day,cool and grey,cup of tea,3,3,3,day
39,Spring day,cool and grey,cup of tea,3,3,3,tea
41,Spring equinox,Pray the ancestor grave,In cold rain,4,6,3,spring
41,Spring equinox,Pray the ancestor grave,In cold rain,4,6,3,rain
41,Spring equinox,Pray the ancestor grave,In cold rain,5,6,3,spring
41,Spring equinox,Pray the ancestor grave,In cold rain,5,6,3,rain
43,scattered sun --,one chickadee,louder than the rest,3,4,5,sun
48,half asleep -,the rhythm of the,receding rain,3,5,4,rain
50,watching summer clouds,thoughts shaping and,reshaping,5,4,3,summer
52,rabbit trail,nothing but ears,above the snow,3,4,4,snow
53,late night at the office,an exit sign floats,next to the moon,6,5,4,night
53,late night at the office,an exit sign floats,next to the moon,6,5,4,moon
57,early spring air,all day long,our beds not made,4,3,4,spring
57,early spring air,all day long,our beds not made,4,3,4,day
57,early spring air,all day long,our beds not made,4,3,5,spring
57,early spring air,all day long,our beds not made,4,3,5,day
57,early spring air,all day long,our beds not made,5,3,4,spring
57,early spring air,all day long,our beds not made,5,3,4,day
57,early spring air,all day long,our beds not made,5,3,5,spring
57,early spring air,all day long,our beds not made,5,3,5,day
59,her fresh flowers -,his fresh grave,valentine's day,4,3,4,day
61,only two pinecones,on the park bench ~,Valentine's day,5,4,4,day
64,after the rain,moon and stars,underfoot,4,3,3,rain
64,after the rain,moon and stars,underfoot,4,3,3,moon
67,dark tree silhouettes,low on the horizon,Orion rises,5,6,5,tree
68,Science day,the programme begins,with rituals,3,5,4,day
70,winter stars,suddenly a whiff,of perfume,3,5,3,winter
73,silhouette. . .,  a shining snow path to,     a pale moon,3,6,3,moon
75,swimming across,the moonlit sky---,a gray carp,4,4,3,sky
82,spring mist,the tree I take shelter under,planted in remembrance,3,8,6,spring
82,spring mist,the tree I take shelter under,planted in remembrance,3,8,6,mist
82,spring mist,the tree I take shelter under,planted in remembrance,3,8,6,tree
84,"oh moon, moon",above so much powdery snow,father is still ill,3,8,5,moon
84,"oh moon, moon",above so much powdery snow,father is still ill,3,8,5,moon
84,"oh moon, moon",above so much powdery snow,father is still ill,3,8,5,snow
85,deepening snow--,she leaves our atlas open,to her homeland,3,8,4,snow
85,deepening snow--,she leaves our atlas open,to her homeland,3,7,4,snow
85,deepening snow--,she leaves our atlas open,to her homeland,4,8,4,snow
85,deepening snow--,she leaves our atlas open,to her homeland,4,7,4,snow
88,morning mist,the iora is gone,before I recall its name,3,6,7,morning
88,morning mist,the iora is gone,before I recall its name,3,6,7,mist
89,drifting fog,the house across the road,reappears,3,6,3,fog
89,drifting fog,the house across the road,reappears,3,6,3,house
91,morning glories,find their way to the sun,on barbed wire,4,6,3,morning
91,morning glories,find their way to the sun,on barbed wire,4,6,3,way
91,morning glories,find their way to the sun,on barbed wire,4,6,3,sun
91,morning glories,find their way to the sun,on barbed wire,4,6,4,morning
91,morning glories,find their way to the sun,on barbed wire,4,6,4,way
91,morning glories,find their way to the sun,on barbed wire,4,6,4,sun
92,summer rain,the smell of earth,in the air,3,4,3,summer
92,summer rain,the smell of earth,in the air,3,4,3,rain
92,summer rain,the smell of earth,in the air,3,4,3,smell
95,mountain storm,somewhere during its echo,the thunder ends,3,7,4,storm
96,even my pee,stays inside this,cold winter night,4,4,4,winter
96,even my pee,stays inside this,cold winter night,4,4,4,night
102,before dinner...,the spider and a fly,share the sunset,4,6,4,sunset
104,working late,the sound of a small brown moth,in the lampshade,3,7,4,sound
107,late summer rain --,two kids break the bottles,under the bridge,4,6,4,summer
107,late summer rain --,two kids break the bottles,under the bridge,4,6,4,rain
108,morning fog,the bluebird's call,clearly audible,3,4,5,morning
108,morning fog,the bluebird's call,clearly audible,3,4,5,fog
112,a mosquito,aiming noisily <>,the sound of one hand,4,5,5,sound
116,master wind,sweeping the temple,zealously,3,5,3,wind
119,thunderstorm --,a shadow pauses,at the gate,3,5,3,shadow
120,crickets' songs,in the pitch-dark night --,how many secrets,3,4,5,night
123,fading this,autumn night---,the heron's legs,3,3,4,autumn
123,fading this,autumn night---,the heron's legs,3,3,4,night
124,we sip sweet tea,in silence. . .,a soldier's mother,4,3,5,tea
124,we sip sweet tea,in silence. . .,a soldier's mother,4,3,5,mother
126,remembering summer,how brittle the leaves,underfoot,5,5,3,summer
126,remembering summer,how brittle the leaves,underfoot,6,5,3,summer
127,deep in the night,my computer turned off --,sound of autumn rain,4,6,5,night
127,deep in the night,my computer turned off --,sound of autumn rain,4,6,5,sound
127,deep in the night,my computer turned off --,sound of autumn rain,4,6,5,autumn
127,deep in the night,my computer turned off --,sound of autumn rain,4,6,5,rain
134,sugar for the tea,behind the bowl,a line of ants,5,4,4,tea
135,fire ant mound,against the flower pot,after the rain,3,6,4,rain
135,fire ant mound,against the flower pot,after the rain,4,6,4,rain
136,forgetting my words,step by step,the autumn night deepens,5,3,6,autumn
136,forgetting my words,step by step,the autumn night deepens,5,3,6,night
137,loud pub music,a long silence,between the flirting couple,4,4,7,silence
138,autumn bonfire ,all my summer dreams,scatter with the smoke,5,5,5,autumn
138,autumn bonfire ,all my summer dreams,scatter with the smoke,5,5,5,summer
139,fading light -,a red leaf bouquet,at the smallest grave,3,5,5,leaf
145,pumpkin moon:,tai chi movements time,the eclipse photos,3,5,5,moon
145,pumpkin moon:,tai chi movements time,the eclipse photos,3,5,5,time
149,all saints day---,spent candles,in the cemetery,3,3,6,day
156,scent of roses --,counting the stars,one by one,4,4,3,scent
157,eating rice---,how many stars are,in the sky ?,3,5,3,sky
161,November moon,the last ball of cheese,in the fridge,4,5,3,moon
163,around where the,steppingstone ends off,autumn gone,4,5,3,autumn
167,moon viewing---,warming my hands,with a cup of coffee,3,4,6,moon
168,Halloween night,ghosts and goblins,watch the rain,4,4,3,night
168,Halloween night,ghosts and goblins,watch the rain,4,4,3,rain
173,from an old temple,to an old temple,autumn wind,5,5,3,autumn
173,from an old temple,to an old temple,autumn wind,5,5,3,wind
175,a new day --,the priest's robes,fill with snow,3,3,3,day
175,a new day --,the priest's robes,fill with snow,3,3,3,snow
176,late harvester --,sickle moon in the sky,over the mature corn,4,6,6,moon
176,late harvester --,sickle moon in the sky,over the mature corn,4,6,6,sky
178,the teacup,as empty as,my evening,3,4,3,evening
181,discarding,the tea leaves--,distant thunder,3,3,4,tea
187,sunday afternoon---,a steam train,pushes back the fog,5,3,5,afternoon
187,sunday afternoon---,a steam train,pushes back the fog,5,3,5,fog
188,winter clouds,seem to move slower too,in the cold night,3,6,4,winter
188,winter clouds,seem to move slower too,in the cold night,3,6,4,night
191,two minutes silence,a cell phone keeps ringing,Nehru smiles from his frame,5,6,6,silence
196,desert wind,the potter's fingerprints,on an ancient shard,3,6,5,wind
197,another test,another doctor visit,long winter nights,4,7,4,winter
198,arctic air,soothes the desert heat . . .,blended whiskey,3,5,4,heat
199,December dusk -,a solitary pine tree,all lit up,4,7,3,dusk
199,December dusk -,a solitary pine tree,all lit up,4,7,3,tree
201,dried wheat grass---,a bleached blond,combing her hair,3,3,4,grass
204,in the dry grass,frost appears,on the fallen pears,4,3,5,grass
209,empty sky,she turns love letters,into wings,3,5,3,sky
216,wild fires,in the mist,the ashes,3,3,3,mist
217,growing darkness,gleam of setting sun,on Chinese Lantern,4,5,5,sun
220,night traffic,the silent lake,seems much bigger,3,4,4,night
225,the same moon,shines on us both --,these cold sheets,3,4,3,moon
225,the same moon,shines on us both --,these cold sheets,3,5,3,moon
230,burning leaves,this foggy evening---,two kinds of smoke,3,5,4,evening
